run_key,experiment,dataset_name,seed,setting_id,setting_name,model_name,label_noise,missing_rate,imbalance_level,corruption_order,noise_type,imputation_strategy,train_rows_after_corruption,test_rows,fit_eval_seconds,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc,minority_recall,auroc,auprc
imp__adult__seed0__noise_missing__mean__RandomForest,imputation_ablation,adult,0,4,noise_missing,RandomForest,0.2,0.2,natural,noise_then_imbalance,symmetric,mean,15000,5000,1.4907,0.8218,0.7334405564265647,0.7437876263398743,0.8174738335737588,0.4901603218687367,0.5639097744360902,0.8388950507568773,0.9313875889524564
imp__adult__seed0__noise_missing__mean__HistGradientBoosting,imputation_ablation,adult,0,4,noise_missing,HistGradientBoosting,0.2,0.2,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.3384,0.8388,0.7305903904295755,0.7534359284599547,0.8290507382605523,0.5212332947458065,0.5229741019214703,0.8800833488752998,0.955002530228064
imp__adult__seed0__missing_imbalance__mean__LogisticRegression,imputation_ablation,adult,0,6,missing_imbalance,LogisticRegression,0.0,0.2,0.8,noise_then_imbalance,symmetric,mean,14264,5000,0.0848,0.812,0.6485696667824351,0.6732806708117849,0.784239102937165,0.4068630754296755,0.3350041771094402,0.8226552884094714,0.9310370726115146
imp__adult__seed0__missing_imbalance__mean__KNN,imputation_ablation,adult,0,6,missing_imbalance,KNN,0.0,0.2,0.8,noise_then_imbalance,symmetric,mean,14264,5000,3.2865,0.8066,0.6810855475967507,0.7001654330246784,0.7932733489487093,0.4165625022733895,0.4402673350041771,0.8020536704193652,0.9007063884909845
imp__adult__seed0__missing_imbalance__mean__RandomForest,imputation_ablation,adult,0,6,missing_imbalance,RandomForest,0.0,0.2,0.8,noise_then_imbalance,symmetric,mean,14264,5000,1.1205,0.8362,0.7128520090655247,0.740038276269037,0.8224445413275342,0.505428847135092,0.4761904761904761,0.8852826034759966,0.9582714669814058
imp__adult__seed0__missing_imbalance__mean__HistGradientBoosting,imputation_ablation,adult,0,6,missing_imbalance,HistGradientBoosting,0.0,0.2,0.8,noise_then_imbalance,symmetric,mean,14264,5000,0.5466,0.849,0.7384405663119145,0.7653789440809458,0.8383827872049174,0.5501127517660567,0.5263157894736842,0.9003121793439686,0.9657484316287516
imp__adult__seed0__all_three__mean__LogisticRegression,imputation_ablation,adult,0,7,all_three,LogisticRegression,0.2,0.2,0.8,noise_then_imbalance,symmetric,mean,12179,5000,0.1131,0.7702,0.5206225968989437,0.4743823855793582,0.6799011014365143,0.1734870527525878,0.0417710944026733,0.8090299813869849,0.9239932200888477
imp__adult__seed0__all_three__mean__KNN,imputation_ablation,adult,0,7,all_three,KNN,0.2,0.2,0.8,noise_then_imbalance,symmetric,mean,12179,5000,2.9226,0.7776,0.5967598899079586,0.6077850436303868,0.742295006031363,0.2721440739454789,0.2497911445279866,0.7087866040770258,0.8526737203791972
imp__adult__seed0__all_three__mean__RandomForest,imputation_ablation,adult,0,7,all_three,RandomForest,0.2,0.2,0.8,noise_then_imbalance,symmetric,mean,12179,5000,1.2204,0.8118,0.6195283765553774,0.6390575481888859,0.7692011820194044,0.4030190244109026,0.2506265664160401,0.8262419129601548,0.9272790404479274
imp__adult__seed0__all_three__mean__HistGradientBoosting,imputation_ablation,adult,0,7,all_three,HistGradientBoosting,0.2,0.2,0.8,noise_then_imbalance,symmetric,mean,12179,5000,0.3026,0.8092,0.6080871826335934,0.6229786677062021,0.7610813404317676,0.395283746261261,0.2222222222222222,0.8649711754186061,0.9487042773724884
imp__adult__seed0__clean__median__LogisticRegression,imputation_ablation,adult,0,0,clean,LogisticRegression,0.0,0.0,natural,noise_then_imbalance,symmetric,median,15000,5000,0.0858,0.8252,0.6947439156221696,0.7203048919890457,0.8095787820858932,0.4677795238198741,0.4444444444444444,0.8493169552859272,0.9425285554987732
imp__adult__seed0__clean__median__KNN,imputation_ablation,adult,0,0,clean,KNN,0.0,0.0,natural,noise_then_imbalance,symmetric,median,15000,5000,2.4765,0.8258,0.74236724689276,0.7514237483072699,0.8222919427903611,0.5046866097545609,0.5822890559732665,0.8430488747067071,0.9229239969203654
imp__adult__seed0__clean__median__RandomForest,imputation_ablation,adult,0,0,clean,RandomForest,0.0,0.0,natural,noise_then_imbalance,symmetric,median,15000,5000,1.0837,0.8522,0.7688815122212578,0.7844625309255435,0.8474392859765724,0.5736819423328745,0.6090225563909775,0.9021238344348907,0.9648987417167714
imp__adult__seed0__clean__median__HistGradientBoosting,imputation_ablation,adult,0,0,clean,HistGradientBoosting,0.0,0.0,natural,noise_then_imbalance,symmetric,median,15000,5000,0.5026,0.8658,0.7884125468373362,0.8046783010866232,0.8616261549901841,0.6139759539507833,0.6399331662489557,0.9197681951394394,0.9729765074696758
imp__adult__seed0__missing_only__median__LogisticRegression,imputation_ablation,adult,0,2,missing_only,LogisticRegression,0.0,0.2,natural,noise_then_imbalance,symmetric,median,15000,5000,0.0938,0.812,0.6634539280096112,0.6877550277419693,0.7904127315163599,0.4150674770625467,0.3784461152882205,0.8240830624198325,0.9322173161931848
imp__adult__seed0__missing_only__median__KNN,imputation_ablation,adult,0,2,missing_only,KNN,0.0,0.2,natural,noise_then_imbalance,symmetric,median,15000,5000,2.9125,0.8054,0.698615787430712,0.7122319180053206,0.7975732261522923,0.4306982338477344,0.4937343358395989,0.8131800708713672,0.9080533100348236
imp__adult__seed0__missing_only__median__RandomForest,imputation_ablation,adult,0,2,missing_only,RandomForest,0.0,0.2,natural,noise_then_imbalance,symmetric,median,15000,5000,1.1439,0.8338,0.7376080001915561,0.7542289042779254,0.8271154685843319,0.5152528273528922,0.5530492898913951,0.8785320079935135,0.9553654081841544
imp__adult__seed0__missing_only__median__HistGradientBoosting,imputation_ablation,adult,0,2,missing_only,HistGradientBoosting,0.0,0.2,natural,noise_then_imbalance,symmetric,median,15000,5000,0.5457,0.8504,0.7559625683544473,0.7764311039569065,0.8434557712337848,0.5621078116204961,0.5747702589807853,0.9023174774520664,0.9666027777423872
imp__adult__seed0__noise_missing__median__LogisticRegression,imputation_ablation,adult,0,4,noise_missing,LogisticRegression,0.2,0.2,natural,noise_then_imbalance,symmetric,median,15000,5000,0.1328,0.8032,0.6281867346954466,0.6486754206469171,0.7701142185341711,0.3689658496806047,0.2923976608187134,0.8189388362658774,0.9293946070285202
imp__adult__seed0__noise_missing__median__KNN,imputation_ablation,adult,0,4,noise_missing,KNN,0.2,0.2,natural,noise_then_imbalance,symmetric,median,15000,5000,2.902,0.7428,0.664619959926989,0.6586990137197688,0.7470016608778198,0.3186444969130506,0.5146198830409356,0.7220649353245503,0.8615501313325358
imp__adult__seed0__noise_missing__median__RandomForest,imputation_ablation,adult,0,4,noise_missing,RandomForest,0.2,0.2,natural,noise_then_imbalance,symmetric,median,15000,5000,1.516,0.8054,0.7272393667137429,0.7297818953869909,0.8042850260567459,0.4597172963468129,0.5772765246449457,0.8148201602261416,0.9184787953942624
imp__adult__seed0__noise_missing__median__HistGradientBoosting,imputation_ablation,adult,0,4,noise_missing,HistGradientBoosting,0.2,0.2,natural,noise_then_imbalance,symmetric,median,15000,5000,0.3459,0.8372,0.7263899954988708,0.7497242662432027,0.8268425890342087,0.5150801265119552,0.5137844611528822,0.8746038995288203,0.9512181965665032
imp__adult__seed0__missing_imbalance__median__LogisticRegression,imputation_ablation,adult,0,6,missing_imbalance,LogisticRegression,0.0,0.2,0.8,noise_then_imbalance,symmetric,median,14264,5000,0.0998,0.811,0.6450499330981498,0.6692906673266388,0.7821212572889912,0.402129626073117,0.3266499582289056,0.8207510405428946,0.92960069609646
imp__adult__seed0__missing_imbalance__median__KNN,imputation_ablation,adult,0,6,missing_imbalance,KNN,0.0,0.2,0.8,noise_then_imbalance,symmetric,median,14264,5000,2.7493,0.8034,0.6789819451776079,0.696990826065891,0.7905791849158026,0.4085668713184553,0.4402673350041771,0.7919987320391433,0.8953311691417922
imp__adult__seed0__missing_imbalance__median__RandomForest,imputation_ablation,adult,0,6,missing_imbalance,RandomForest,0.0,0.2,0.8,noise_then_imbalance,symmetric,median,14264,5000,1.0782,0.8342,0.7164032660316757,0.741228472409555,0.8220705814855308,0.5022527352860726,0.4903926482873851,0.874864103900737,0.9545396206685094
imp__adult__seed0__missing_imbalance__median__HistGradientBoosting,imputation_ablation,adult,0,6,missing_imbalance,HistGradientBoosting,0.0,0.2,0.8,noise_then_imbalance,symmetric,median,14264,5000,0.4452,0.8448,0.7273787501447105,0.7554752741386869,0.83250381007336,0.5345149158437887,0.5020885547201337,0.896639003064678,0.9645056209857944
imp__adult__seed0__all_three__median__LogisticRegression,imputation_ablation,adult,0,7,all_three,LogisticRegression,0.2,0.2,0.8,noise_then_imbalance,symmetric,median,12179,5000,0.127,0.7704,0.5210403078429705,0.4752,0.6803443200000001,0.1753409815271489,0.0426065162907268,0.8075533298141488,0.9226291340875198
imp__adult__seed0__all_three__median__KNN,imputation_ablation,adult,0,7,all_three,KNN,0.2,0.2,0.8,noise_then_imbalance,symmetric,median,12179,5000,2.5174,0.7804,0.5948794767179145,0.6053511224849221,0.7423413251288539,0.2766793181622389,0.2389306599832915,0.7003106855577896,0.8483941782409021
imp__adult__seed0__all_three__median__RandomForest,imputation_ablation,adult,0,7,all_three,RandomForest,0.2,0.2,0.8,noise_then_imbalance,symmetric,median,12179,5000,1.1944,0.8008,0.6177357233033499,0.6356997826780952,0.7635224702422317,0.3557808242395675,0.2664995822890559,0.7913648614480369,0.9062648223902
imp__adult__seed0__all_three__median__HistGradientBoosting,imputation_ablation,adult,0,7,all_three,HistGradientBoosting,0.2,0.2,0.8,noise_then_imbalance,symmetric,median,12179,5000,0.2937,0.8078,0.6020146123042729,0.613967887109267,0.7565381626365744,0.3921270229187889,0.2071846282372598,0.8586200579017884,0.9430507018001756
imp__adult__seed0__clean__mean_indicator__LogisticRegression,imputation_ablation,adult,0,0,clean,LogisticRegression,0.0,0.0,natural,noise_then_imbalance,symmetric,mean_indicator,15000,5000,0.0843,0.8252,0.6947439156221696,0.7203048919890457,0.8095787820858932,0.4677795238198741,0.4444444444444444,0.8493169552859272,0.9425285554987732
imp__adult__seed0__clean__mean_indicator__KNN,imputation_ablation,adult,0,0,clean,KNN,0.0,0.0,natural,noise_then_imbalance,symmetric,mean_indicator,15000,5000,2.5312,0.8258,0.74236724689276,0.7514237483072699,0.8222919427903611,0.5046866097545609,0.5822890559732665,0.8430488747067071,0.9229239969203654
imp__adult__seed0__clean__mean_indicator__RandomForest,imputation_ablation,adult,0,0,clean,RandomForest,0.0,0.0,natural,noise_then_imbalance,symmetric,mean_indicator,15000,5000,1.1475,0.8522,0.7688815122212578,0.7844625309255435,0.8474392859765724,0.5736819423328745,0.6090225563909775,0.9021238344348907,0.9648987417167714
imp__adult__seed0__clean__mean_indicator__HistGradientBoosting,imputation_ablation,adult,0,0,clean,HistGradientBoosting,0.0,0.0,natural,noise_then_imbalance,symmetric,mean_indicator,15000,5000,0.5531,0.8658,0.7884125468373362,0.8046783010866232,0.8616261549901841,0.6139759539507833,0.6399331662489557,0.9197681951394394,0.9729765074696758
imp__adult__seed0__missing_only__mean_indicator__LogisticRegression,imputation_ablation,adult,0,2,missing_only,LogisticRegression,0.0,0.2,natural,noise_then_imbalance,symmetric,mean_indicator,15000,5000,0.091,0.8132,0.6676776084307534,0.6920643059406401,0.7927274496647128,0.4208797619442087,0.3884711779448621,0.8259253620948681,0.933142068796667
imp__adult__seed0__missing_only__mean_indicator__KNN,imputation_ablation,adult,0,2,missing_only,KNN,0.0,0.2,natural,noise_then_imbalance,symmetric,mean_indicator,15000,5000,0.6262,0.7728,0.6479892869170033,0.6592886667173735,0.761787119432039,0.3263594205165673,0.4085213032581453,0.7582418004868424,0.8827973674595763
imp__adult__seed0__missing_only__mean_indicator__RandomForest,imputation_ablation,adult,0,2,missing_only,RandomForest,0.0,0.2,natural,noise_then_imbalance,symmetric,mean_indicator,15000,5000,1.24,0.8432,0.7432148607121274,0.7640428228568347,0.8352733489739234,0.5386489592139956,0.5513784461152882,0.8908670572038827,0.9615910964076244
imp__adult__seed0__missing_only__mean_indicator__HistGradientBoosting,imputation_ablation,adult,0,2,missing_only,HistGradientBoosting,0.0,0.2,natural,noise_then_imbalance,symmetric,mean_indicator,15000,5000,0.6213,0.8504,0.760256105246902,0.7787019437069815,0.8443537830251847,0.5645901801775314,0.5873015873015873,0.9065487366413228,0.9682751104163112
imp__adult__seed0__noise_missing__mean_indicator__LogisticRegression,imputation_ablation,adult,0,4,noise_missing,LogisticRegression,0.2,0.2,natural,noise_then_imbalance,symmetric,mean_indicator,15000,5000,0.1274,0.806,0.6363245742544634,0.6585037082976699,0.775477334644679,0.3821067790134361,0.3107769423558897,0.8193889491895221,0.9302715500748702
imp__adult__seed0__noise_missing__mean_indicator__KNN,imputation_ablation,adult,0,4,noise_missing,KNN,0.2,0.2,natural,noise_then_imbalance,symmetric,mean_indicator,15000,5000,0.6515,0.7078,0.6144194081487354,0.6107112441460802,0.712038155541881,0.2222899849973664,0.4352548036758563,0.6680358974392769,0.8392939629700231
imp__adult__seed0__noise_missing__mean_indicator__RandomForest,imputation_ablation,adult,0,4,noise_missing,RandomForest,0.2,0.2,natural,noise_then_imbalance,symmetric,mean_indicator,15000,5000,1.5963,0.8228,0.7320942816327347,0.7436745474496023,0.8179009439025672,0.4906526793399183,0.5580618212197159,0.8417923369208365,0.9350246485880596
imp__adult__seed0__noise_missing__mean_indicator__HistGradientBoosting,imputation_ablation,adult,0,4,noise_missing,HistGradientBoosting,0.2,0.2,natural,noise_then_imbalance,symmetric,mean_indicator,15000,5000,0.3606,0.8362,0.7263050913285493,0.7490069224442424,0.8261108111820451,0.5127289063265755,0.5154553049289892,0.8768384279130642,0.952827658667348
imp__adult__seed0__missing_imbalance__mean_indicator__LogisticRegression,imputation_ablation,adult,0,6,missing_imbalance,LogisticRegression,0.0,0.2,0.8,noise_then_imbalance,symmetric,mean_indicator,14264,5000,0.0945,0.8102,0.6442377967005339,0.668194788749167,0.7813300930963607,0.3992150587654064,0.3258145363408521,0.8223479638705845,0.9306454249190316
imp__adult__seed0__missing_imbalance__mean_indicator__KNN,imputation_ablation,adult,0,6,missing_imbalance,KNN,0.0,0.2,0.8,noise_then_imbalance,symmetric,mean_indicator,14264,5000,0.577,0.7784,0.6178947675965266,0.6325650804178411,0.7532145408721606,0.298595565408284,0.3099415204678362,0.748842041118222,0.8775402157920257
imp__adult__seed0__missing_imbalance__mean_indicator__RandomForest,imputation_ablation,adult,0,6,missing_imbalance,RandomForest,0.0,0.2,0.8,noise_then_imbalance,symmetric,mean_indicator,14264,5000,1.1982,0.8352,0.7073286248314273,0.735475213642288,0.8201275892931666,0.5002489571293238,0.4619883040935672,0.8849131110711305,0.9581105322519352
imp__adult__seed0__missing_imbalance__mean_indicator__HistGradientBoosting,imputation_ablation,adult,0,6,missing_imbalance,HistGradientBoosting,0.0,0.2,0.8,noise_then_imbalance,symmetric,mean_indicator,14264,5000,0.5624,0.8518,0.7391362752573432,0.7678273357275003,0.8406017830484627,0.5578247847122095,0.5229741019214703,0.9010847743427286,0.9659614229839
imp__adult__seed0__all_three__mean_indicator__LogisticRegression,imputation_ablation,adult,0,7,all_three,LogisticRegression,0.2,0.2,0.8,noise_then_imbalance,symmetric,mean_indicator,12179,5000,0.1254,0.771,0.5222934406750508,0.4776455564607672,0.6816705577586697,0.1807940317955465,0.0451127819548872,0.8061408231772349,0.922556773939636
imp__adult__seed0__all_three__mean_indicator__KNN,imputation_ablation,adult,0,7,all_three,KNN,0.2,0.2,0.8,noise_then_imbalance,symmetric,mean_indicator,12179,5000,0.5569,0.7606,0.5635443460083287,0.5636838901813128,0.7164565553160251,0.1906486810865026,0.1854636591478696,0.6475386248072632,0.8247055926580402
imp__adult__seed0__all_three__mean_indicator__RandomForest,imputation_ablation,adult,0,7,all_three,RandomForest,0.2,0.2,0.8,noise_then_imbalance,symmetric,mean_indicator,12179,5000,1.3289,0.8088,0.6121177692236551,0.6287573561186224,0.7635049523147367,0.390378277005728,0.2347535505430242,0.8244149904957854,0.92649002358203
imp__adult__seed0__all_three__mean_indicator__HistGradientBoosting,imputation_ablation,adult,0,7,all_three,HistGradientBoosting,0.2,0.2,0.8,noise_then_imbalance,symmetric,mean_indicator,12179,5000,0.3209,0.8082,0.6028500341923263,0.6152092727904647,0.7572408557071687,0.3939095410170555,0.2088554720133667,0.8640243785904415,0.9473946810093232
imp__adult__seed1__clean__mean__LogisticRegression,imputation_ablation,adult,1,0,clean,LogisticRegression,0.0,0.0,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.0725,0.8354,0.7121138987652498,0.7389701239095818,0.8217240287611154,0.5027215950583621,0.475752508361204,0.8613319371617273,0.94831612992036
imp__adult__seed1__clean__mean__KNN,imputation_ablation,adult,1,0,clean,KNN,0.0,0.0,natural,noise_then_imbalance,symmetric,mean,15000,5000,2.4831,0.8206,0.7367816486078727,0.7447988904299584,0.8173454202496532,0.4910828144532522,0.5760869565217391,0.8438930900055917,0.9243780166172824
imp__adult__seed1__clean__mean__RandomForest,imputation_ablation,adult,1,0,clean,RandomForest,0.0,0.0,natural,noise_then_imbalance,symmetric,mean,15000,5000,1.1105,0.8568,0.7809223876292866,0.7937824130268687,0.8532432910391432,0.5905245100344902,0.6354515050167224,0.9087373702738536,0.9658872275420728
imp__adult__seed1__clean__mean__HistGradientBoosting,imputation_ablation,adult,1,0,clean,HistGradientBoosting,0.0,0.0,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.5281,0.8708,0.799008436815322,0.8134674858235289,0.8674080330718105,0.6303381630923091,0.6613712374581939,0.9275662346271658,0.9755133939345864
imp__adult__seed1__missing_only__mean__LogisticRegression,imputation_ablation,adult,1,2,missing_only,LogisticRegression,0.0,0.2,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.0825,0.8248,0.6807848805517164,0.7087700895445537,0.8046528545850493,0.4592466531372773,0.4046822742474916,0.8429539931562974,0.9403380385745552
imp__adult__seed1__missing_only__mean__KNN,imputation_ablation,adult,1,2,missing_only,KNN,0.0,0.2,natural,noise_then_imbalance,symmetric,mean,15000,5000,3.2793,0.8148,0.7177790321049133,0.7300102001330007,0.8089294713867959,0.4641695504034764,0.5317725752508361,0.8303255858118017,0.9174803885055454
imp__adult__seed1__missing_only__mean__RandomForest,imputation_ablation,adult,1,2,missing_only,RandomForest,0.0,0.2,natural,noise_then_imbalance,symmetric,mean,15000,5000,1.2461,0.8452,0.7475030684124087,0.7678604120063794,0.8377501020574406,0.545429453376454,0.560200668896321,0.8961377567707289,0.9609663166858312
imp__adult__seed1__missing_only__mean__HistGradientBoosting,imputation_ablation,adult,1,2,missing_only,HistGradientBoosting,0.0,0.2,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.6478,0.857,0.769302424133723,0.7883938119602896,0.8512406466661431,0.5840476257755212,0.6011705685618729,0.9087836382403314,0.9682129701916884
imp__adult__seed1__noise_missing__mean__LogisticRegression,imputation_ablation,adult,1,4,noise_missing,LogisticRegression,0.2,0.2,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.1293,0.8086,0.6377501767194539,0.6607200859877821,0.7775546257466018,0.3907172341897894,0.3102006688963211,0.8276980928366198,0.9346495324301802
imp__adult__seed1__noise_missing__mean__KNN,imputation_ablation,adult,1,4,noise_missing,KNN,0.2,0.2,natural,noise_then_imbalance,symmetric,mean,15000,5000,3.3153,0.7472,0.6567281755870427,0.6554656664994876,0.7481955664100831,0.3109970117443196,0.4832775919732441,0.7219973298657635,0.8653609137217109
imp__adult__seed1__noise_missing__mean__RandomForest,imputation_ablation,adult,1,4,noise_missing,RandomForest,0.2,0.2,natural,noise_then_imbalance,symmetric,mean,15000,5000,1.5147,0.8338,0.7417306725186302,0.756512214150174,0.8280658334247024,0.5181487367975385,0.5652173913043478,0.834802918244833,0.9259488069764712
imp__adult__seed1__noise_missing__mean__HistGradientBoosting,imputation_ablation,adult,1,4,noise_missing,HistGradientBoosting,0.2,0.2,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.3633,0.8432,0.7332907799921927,0.7580671640114538,0.8329243576251182,0.532893431999414,0.5225752508361204,0.8832599859679479,0.953785111190896
imp__adult__seed1__missing_imbalance__mean__LogisticRegression,imputation_ablation,adult,1,6,missing_imbalance,LogisticRegression,0.0,0.2,0.8,noise_then_imbalance,symmetric,mean,14262,5000,0.0848,0.8174,0.6512722921480294,0.677825024618332,0.7884332093024372,0.4253422360747753,0.3327759197324414,0.8373262258703214,0.9379541127445182
imp__adult__seed1__missing_imbalance__mean__KNN,imputation_ablation,adult,1,6,missing_imbalance,KNN,0.0,0.2,0.8,noise_then_imbalance,symmetric,mean,14262,5000,3.2536,0.8082,0.6790471392549297,0.6992961020308707,0.7936867188150146,0.4177501953421998,0.431438127090301,0.8092144248792856,0.9043776109309088
imp__adult__seed1__missing_imbalance__mean__RandomForest,imputation_ablation,adult,1,6,missing_imbalance,RandomForest,0.0,0.2,0.8,noise_then_imbalance,symmetric,mean,14262,5000,1.1608,0.844,0.7237848559340809,0.7525129454766981,0.8309992080414257,0.5306667514147414,0.4933110367892976,0.8878074347017221,0.9581579706110068
imp__adult__seed1__missing_imbalance__mean__HistGradientBoosting,imputation_ablation,adult,1,6,missing_imbalance,HistGradientBoosting,0.0,0.2,0.8,noise_then_imbalance,symmetric,mean,14262,5000,0.6034,0.8526,0.7446276406809942,0.7716494734521908,0.8425661591212155,0.5617517308921772,0.5376254180602007,0.9044922568744748,0.9664753580018788
imp__adult__seed1__all_three__mean__LogisticRegression,imputation_ablation,adult,1,7,all_three,LogisticRegression,0.2,0.2,0.8,noise_then_imbalance,symmetric,mean,12347,5000,0.1205,0.7668,0.5128284256318819,0.4587828313660135,0.6717491027863307,0.1372534967959957,0.0259197324414715,0.8205405153526124,0.9318441554281034
imp__adult__seed1__all_three__mean__KNN,imputation_ablation,adult,1,7,all_three,KNN,0.2,0.2,0.8,noise_then_imbalance,symmetric,mean,12347,5000,2.9519,0.7744,0.5946372239747635,0.6050675712579943,0.7399542463218766,0.2622926589723424,0.25,0.7037563214570827,0.8516704134367399
imp__adult__seed1__all_three__mean__RandomForest,imputation_ablation,adult,1,7,all_three,RandomForest,0.2,0.2,0.8,noise_then_imbalance,symmetric,mean,12347,5000,1.2641,0.8138,0.6254035533798254,0.6470016639833485,0.7735684548857131,0.410262195724728,0.2642140468227424,0.8466063051039392,0.9378781114981778
imp__adult__seed1__all_three__mean__HistGradientBoosting,imputation_ablation,adult,1,7,all_three,HistGradientBoosting,0.2,0.2,0.8,noise_then_imbalance,symmetric,mean,12347,5000,0.2839,0.81,0.605135766259069,0.6186036622398998,0.7595301582529832,0.4025484419696754,0.2123745819397993,0.8849925619573129,0.9551465681123738
imp__adult__seed1__clean__median__LogisticRegression,imputation_ablation,adult,1,0,clean,LogisticRegression,0.0,0.0,natural,noise_then_imbalance,symmetric,median,15000,5000,0.089,0.8354,0.7121138987652498,0.7389701239095818,0.8217240287611154,0.5027215950583621,0.475752508361204,0.8613319371617273,0.94831612992036
imp__adult__seed1__clean__median__KNN,imputation_ablation,adult,1,0,clean,KNN,0.0,0.0,natural,noise_then_imbalance,symmetric,median,15000,5000,2.5624,0.8206,0.7367816486078727,0.7447988904299584,0.8173454202496532,0.4910828144532522,0.5760869565217391,0.8438930900055917,0.9243780166172824
imp__adult__seed1__clean__median__RandomForest,imputation_ablation,adult,1,0,clean,RandomForest,0.0,0.0,natural,noise_then_imbalance,symmetric,median,15000,5000,1.1123,0.8568,0.7809223876292866,0.7937824130268687,0.8532432910391432,0.5905245100344902,0.6354515050167224,0.9087373702738536,0.9658872275420728
imp__adult__seed1__clean__median__HistGradientBoosting,imputation_ablation,adult,1,0,clean,HistGradientBoosting,0.0,0.0,natural,noise_then_imbalance,symmetric,median,15000,5000,0.5299,0.8708,0.799008436815322,0.8134674858235289,0.8674080330718105,0.6303381630923091,0.6613712374581939,0.9275662346271658,0.9755133939345864
imp__adult__seed1__missing_only__median__LogisticRegression,imputation_ablation,adult,1,2,missing_only,LogisticRegression,0.0,0.2,natural,noise_then_imbalance,symmetric,median,15000,5000,0.0955,0.8238,0.6784079599365569,0.7062438552116308,0.8031728547715634,0.4553104494172677,0.3996655518394649,0.8417764129643501,0.9396221710261856
